,School1,School2,Year,Distance,popDiff,perfDiff
197,Wheatfields Junior Mixed School,Bowmansgreen Primary School,2020,5433.73628362658,0.2333333333333334,2.583779472336434
198,Windermere Primary School,Bowmansgreen Primary School,2020,2513.7153776830023,0.20000000000000007,-2.5995885414289317
199,De Havilland Primary School,Bowmansgreen Primary School,2020,5877.370245271264,0.20000000000000007,-2.7746121764002414
200,Hertsmere Jewish Primary School,Bowmansgreen Primary School,2020,5796.176670875379,0.10000000000000009,2.9258980873834988
201,Newberries Primary School,Bowmansgreen Primary School,2020,4449.976404431825,0.7333333333333333,3.2229271869742955
202,St Mary's Church of England Primary School,Bowmansgreen Primary School,2020,5727.041557383707,-0.09999999999999998,-1.5539482863063143
203,Clore Shalom School,Bowmansgreen Primary School,2020,2096.9639958759426,0.16666666666666674,3.465155465821139
204,Parkside Community Primary School,Bowmansgreen Primary School,2020,5932.699301329876,-0.21666666666666662,-1.9163464344876875
205,Shenley Primary School,Bowmansgreen Primary School,2020,3704.719287611411,0.20000000000000007,-0.3305179654955477
206,St Giles' CofE Primary School,Bowmansgreen Primary School,2020,5561.406476782649,-0.2666666666666666,-0.002622526498535782
207,"Abbey Church of England Voluntary Aided Primary School, St Albans",Camp Primary and Nursery School,2020,2205.000226757358,-0.4333333333333331,2.103727824639184
208,Aboyne Lodge Junior Mixed and Infant School,Camp Primary and Nursery School,2020,2150.291608131325,-0.5666666666666665,0.25223712273397547
209,Alban City School,Camp Primary and Nursery School,2020,1836.7819685526097,-0.7166666666666666,-0.41057864762310614
210,Bernards Heath Junior School,Camp Primary and Nursery School,2020,2259.1026979754593,-0.2777777777777777,2.49178593375235
211,Bowmansgreen Primary School,Camp Primary and Nursery School,2020,2865.632565420766,-0.7999999999999999,-0.373705474663788
213,Colney Heath Junior Mixed Infant and Nursery School,Camp Primary and Nursery School,2020,3441.786890555544,-0.7333333333333333,1.885851296899959
214,Cunningham Hill Junior School,Camp Primary and Nursery School,2020,395.03164430207363,-0.23333333333333317,3.9345795083805593
215,Fleetville Junior School,Camp Primary and Nursery School,2020,625.8825768464881,-0.4999999999999999,0.5439321512675146
216,Garden Fields Junior Mixed and Infant School,Camp Primary and Nursery School,2020,2688.4649895432894,-0.7555555555555554,2.3687957938053494
217,How Wood Primary and Nursery School,Camp Primary and Nursery School,2020,3824.172851741929,-0.5333333333333332,-1.9730813590914682
218,Killigrew Primary and Nursery School,Camp Primary and Nursery School,2020,3467.3600909048946,-0.5499999999999999,3.3322078514811926
219,London Colney Primary & Nursery School,Camp Primary and Nursery School,2020,2549.9421562066855,-0.8666666666666666,-0.41681210925864365
220,Mandeville Primary School,Camp Primary and Nursery School,2020,2279.0342252805244,-0.4166666666666665,-0.31746938740400976
221,Maple Primary School,Camp Primary and Nursery School,2020,1798.40151245488,0.3333333333333335,4.190120401305604
222,Margaret Wix Primary School,Camp Primary and Nursery School,2020,3406.1793845891325,-1.0999999999999999,0.5061222554536858
223,Oakwood Primary School,Camp Primary and Nursery School,2020,1213.7071310658102,-0.3999999999999999,1.4539456704655542
224,Park Street Church of England Voluntary Aided Primary School,Camp Primary and Nursery School,2020,3690.425449727985,-0.8999999999999999,2.6829885530448863
225,Prae Wood Primary School,Camp Primary and Nursery School,2020,3372.408634789088,-0.4999999999999999,1.786788776185873
226,St Bernadette Catholic Primary School,Camp Primary and Nursery School,2020,3116.664402851228,-0.23333333333333317,-0.41527373505305665
227,Samuel Ryder Academy,Camp Primary and Nursery School,2020,905.2673638213188,-0.34999999999999987,-0.8955905004154259
228,Sandridge School,Camp Primary and Nursery School,2020,3840.693817528286,-0.9999999999999999,0.2267520374039057
229,Skyswood Primary & Nursery School,Camp Primary and Nursery School,2020,2325.650446649281,0.20000000000000018,4.934164380462073
230,St Adrian Roman Catholic Primary School,Camp Primary and Nursery School,2020,2499.2754950185063,-0.3999999999999999,4.158522411266377
231,St John Fisher Roman Catholic Primary School,Camp Primary and Nursery School,2020,2204.1472273874992,-1.2333333333333332,1.3045729061175997
232,"St Michael's Church of England Voluntary Aided Primary School, St Albans",Camp Primary and Nursery School,2020,3204.9414971259616,-0.2999999999999998,4.082130559205176
233,St Peter's School,Camp Primary and Nursery School,2020,1722.6412859327388,0.30000000000000004,3.5988165629916296
234,Wheatfields Junior Mixed School,Camp Primary and Nursery School,2020,2595.4614233311195,-0.5666666666666665,2.2100739976726462
235,Windermere Primary School,Camp Primary and Nursery School,2020,360.0347205478938,-0.5999999999999999,-2.9732940160927197
236,De Havilland Primary School,Camp Primary and Nursery School,2020,5709.1331215868495,-0.5999999999999999,-3.1483176510640294
